"ITC(HS)","Description","HS(4)","HS(5)","HS(6)","HS(8)","Policy","Condition"
"01012100","Pure-bred breeding animals","LIVE HORSES, ASSES, MULES AND HINNIES","Horses","Horses","Pure-bred breeding animals","Restricted          ",""
"01012910","Horses for Polo","LIVE HORSES, ASSES, MULES AND HINNIES","Horses","Other","Horses for Polo","Restricted          ",""
"01012990","Other","LIVE HORSES, ASSES, MULES AND HINNIES","Horses","Other","Other","Restricted          ",""
"01013010","Pure-bred breeding animals","LIVE HORSES, ASSES, MULES AND HINNIES","","Asses","Pure-bred breeding animals","Restricted          ",""
"01013020","Livestock","LIVE HORSES, ASSES, MULES AND HINNIES","","Asses","Livestock","Restricted          ",""
"01013090","Other","LIVE HORSES, ASSES, MULES AND HINNIES","","Asses","Other","Restricted          ",""
"01019030","Mules and hinnies as livestock","LIVE HORSES, ASSES, MULES AND HINNIES","","Other","Mules and hinnies as livestock","Restricted          ",""
"01019090","Other","LIVE HORSES, ASSES, MULES AND HINNIES","","Other","Other","Restricted          ",""
"01022110","Bulls","LIVE BOVINE ANIMALS","Cattle","Pure-bred breeding animals","Bulls","Restricted          ",""
"01022120","Cows","LIVE BOVINE ANIMALS","Cattle","Pure-bred breeding animals","Cows","Restricted          ",""
"01022910","Bulls","LIVE BOVINE ANIMALS","Cattle","Other","Bulls","Restricted          ",""
"01022990","Other, including calves","LIVE BOVINE ANIMALS","Cattle","Other","Other, including calves","Restricted          ",""
"01023100","Pure-bred breeding animals","LIVE BOVINE ANIMALS","Buffalo","Buffalo","Pure-bred breeding animals","Restricted          ",""
"01023900","Other","LIVE BOVINE ANIMALS","Buffalo","Buffalo","Other","Restricted          ",""
"01019010","Pure-bred breeding animals","LIVE BOVINE ANIMALS","","Other","Pure-bred breeding animals","Restricted          ",""
"01019090","Other","LIVE BOVINE ANIMALS","","Other","Other","Restricted          ",""
"01031000","Pure-bred breeding animals","LIVE SWINE","","","Pure-bred breeding animals","Restricted          ",""
"01039100","Weighing less than 50 kg.","LIVE SWINE","Other","Other","Weighing less than 50 kg.","Restricted          ",""
"01039200","Weighing 50 kg. or more","LIVE SWINE","Other","Other","Weighing 50 kg. or more","Restricted          ",""
"01041010","Sheep including lamb for breeding purpose","LIVE SHEEP AND GOATS","","Sheep","Sheep including lamb for breeding purpose","Restricted          ",""
"01041090","Other","LIVE SHEEP AND GOATS","","Sheep","Other","Restricted          ",""
"01042000","Goats","LIVE SHEEP AND GOATS","","Sheep","Goats","Restricted          ",""
"01051100","Fowls of the species Gallus domesticus","LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS","Weighing not more than 185 g","Weighing not more than 185 g","Fowls of the species Gallus domesticus","Restricted          ","Grandparent stock of poultry is, however, freely importable."
